Date,Line,Station,Total Vehicles,Bike,Car,Eight Wheleer,General Parking,Pass Vehicles,Six Wheeler,e-Four Wheeler,e-Two Wheeler,h-Four Wheeler,h-Two Wheeler,Eight Wheeler
2026-01-25,01,SWD,265,236,20,0.0,265,0,0,1,7,0,1,
2026-01-25,01,SWN,54,47,7,0.0,54,0,0,0,0,0,0,
2026-01-25,01,STV,133,131,0,0.0,133,0,0,0,2,0,0,
2026-01-25,01,STT,176,168,0,0.0,176,0,0,0,8,0,0,
2026-01-25,01,SKP,151,147,0,0.0,151,0,0,0,3,0,1,
2026-01-25,01,STG,44,27,14,0.0,44,0,0,0,3,0,0,
2026-01-25,01,SNW,150,145,0,0.0,150,0,0,0,5,0,0,
2026-01-25,01,STR,170,167,0,0.0,170,0,0,0,3,0,0,
2026-01-25,01,STC,261,191,60,0.0,261,0,0,0,10,0,0,
2026-01-25,01,SWA,421,248,161,0.0,421,0,0,1,10,0,1,
2026-01-25,01,SMA,393,88,293,0.0,393,0,0,6,3,2,1,
2026-01-25,01,SHC,35,32,0,0.0,35,0,0,0,3,0,0,
2026-01-25,01,SGE,140,94,46,0.0,140,0,0,0,0,0,0,
2026-01-25,01,SLI,94,74,20,0.0,94,0,0,0,0,0,0,
2026-01-25,01,STL,49,49,0,0.0,49,0,0,0,0,0,0,
2026-01-25,01,SGM,98,96,0,0.0,98,0,0,0,2,0,0,
2026-01-25,01,STE,14,10,4,0.0,14,0,0,0,0,0,0,
2026-01-25,01,SCR,70,47,22,0.0,70,0,0,0,1,0,0,
2026-01-25,01,SSA,155,111,37,0.0,155,0,0,2,5,0,0,
2026-01-25,01,SLM,400,238,155,0.0,400,0,0,0,7,0,0,
2026-01-25,01,SGU,225,203,16,0.0,225,0,0,0,4,0,2,
2026-01-25,01,SOT,218,186,29,0.0,218,0,0,1,2,0,0,
2026-01-25,01,SME,602,586,0,0.0,602,0,0,0,13,0,3,
2026-01-25,01,SAP,276,234,18,0.0,276,0,0,0,21,0,3,
2026-01-25,02,SCC,394,303,77,,394,0,0,3,9,0,2,0.0
2026-01-25,02,SEG,538,437,86,,538,0,0,0,10,0,5,0.0
2026-01-25,02,SNP,100,62,35,,100,0,0,0,3,0,0,0.0
2026-01-25,02,SKM,18,16,0,,18,0,0,0,2,0,0,0.0
2026-01-25,02,SPC,127,74,48,,127,0,0,4,1,0,0,0.0
2026-01-25,02,SSN,148,85,62,,148,0,0,1,0,0,0,0.0
2026-01-25,02,SAE,179,166,10,,179,0,0,0,3,0,0,0.0
2026-01-25,02,SAT,92,91,0,,92,0,0,0,1,0,0,0.0
2026-01-25,02,STI,1230,1195,24,,1230,0,0,0,9,0,2,0.0
2026-01-25,02,SKO,750,597,132,,750,0,0,0,19,1,1,0.0
2026-01-25,02,SAR,281,178,101,,281,0,0,1,1,0,0,0.0
2026-01-25,02,SVA,960,928,2,,960,0,0,0,30,0,0,0.0
2026-01-25,02,SAN,466,392,67,,466,0,0,1,5,0,1,0.0
2026-01-25,02,SSI,36,35,0,,36,0,0,0,1,0,0,0.0
2026-01-25,02,SAL,890,661,203,,890,0,0,2,17,0,7,0.0
2026-01-25,02,SMM,251,179,62,,251,0,0,0,9,0,1,0.0
2026-01-26,01,SWD,375,338,28,0.0,375,0,0,0,9,0,0,
2026-01-26,01,SWN,63,55,5,0.0,63,0,0,0,2,0,1,
2026-01-26,01,STV,153,150,0,0.0,153,0,0,0,3,0,0,
2026-01-26,01,STT,144,140,0,0.0,144,0,0,0,4,0,0,
2026-01-26,01,SKP,165,163,0,0.0,165,0,0,0,1,0,1,
2026-01-26,01,STG,46,35,10,0.0,46,0,0,0,1,0,0,
2026-01-26,01,SNW,137,133,0,0.0,137,0,0,0,4,0,0,
2026-01-26,01,STR,192,189,0,0.0,192,0,0,0,3,0,0,
2026-01-26,01,STC,250,166,76,0.0,250,0,0,1,6,0,1,
2026-01-26,01,SWA,393,259,124,0.0,393,0,0,1,9,0,0,
2026-01-26,01,SMA,430,104,311,0.0,430,0,0,7,4,3,1,
2026-01-26,01,SHC,61,60,0,0.0,61,0,0,0,1,0,0,
2026-01-26,01,SGE,230,158,67,0.0,230,0,0,1,4,0,0,
2026-01-26,01,SLI,90,67,21,0.0,90,0,0,2,0,0,0,
2026-01-26,01,STL,46,44,0,0.0,46,0,0,0,2,0,0,
2026-01-26,01,SGM,80,80,0,0.0,80,0,0,0,0,0,0,
2026-01-26,01,STE,23,19,4,0.0,23,0,0,0,0,0,0,
2026-01-26,01,SCR,111,76,30,0.0,111,0,0,1,3,0,1,
2026-01-26,01,SSA,276,222,47,0.0,276,0,0,3,4,0,0,
2026-01-26,01,SLM,187,154,30,0.0,187,0,0,0,3,0,0,
2026-01-26,01,SGU,234,197,31,0.0,234,0,0,0,5,0,1,
2026-01-26,01,SOT,247,204,36,0.0,247,0,0,1,6,0,0,
2026-01-26,01,SME,708,688,0,0.0,708,0,0,0,15,0,5,
2026-01-26,01,SAP,386,337,20,0.0,386,0,0,0,27,0,2,
2026-01-26,02,SCC,510,372,119,,510,0,0,6,13,0,0,0.0
2026-01-26,02,SEG,600,462,119,,600,0,0,2,13,1,3,0.0
2026-01-26,02,SNP,133,71,61,,133,0,0,0,1,0,0,0.0
2026-01-26,02,SKM,31,30,0,,31,0,0,0,1,0,0,0.0
2026-01-26,02,SPC,113,72,37,,113,0,0,3,1,0,0,0.0
2026-01-26,02,SSN,176,100,73,,176,0,0,1,2,0,0,0.0
2026-01-26,02,SAE,199,179,12,,199,0,0,1,7,0,0,0.0
2026-01-26,02,SAT,111,109,0,,111,0,0,0,2,0,0,0.0
2026-01-26,02,STI,1637,1598,22,,1637,0,0,0,14,0,3,0.0
2026-01-26,02,SKO,945,760,165,,945,0,0,0,20,0,0,0.0
2026-01-26,02,SAR,277,163,108,,277,0,0,1,5,0,0,0.0
2026-01-26,02,SVA,1127,1088,0,,1127,0,0,0,39,0,0,0.0
2026-01-26,02,SAN,522,438,75,,522,0,0,0,9,0,0,0.0
2026-01-26,02,SSI,48,46,0,,48,0,0,0,2,0,0,0.0
2026-01-26,02,SAL,1100,805,268,,1100,0,0,2,23,0,2,0.0
2026-01-26,02,SMM,285,225,52,,285,0,0,0,7,0,1,0.0
2026-01-27,01,SWD,833,778,35,0.0,833,0,0,0,17,0,3,
2026-01-27,01,SWN,146,128,14,0.0,146,0,0,0,3,0,1,
2026-01-27,01,STV,150,147,0,0.0,150,0,0,0,2,0,1,
2026-01-27,01,STT,258,252,0,0.0,258,0,0,0,6,0,0,
2026-01-27,01,SKP,297,287,0,0.0,297,0,0,0,8,0,2,
2026-01-27,01,STG,94,83,7,0.0,94,0,0,0,4,0,0,
2026-01-27,01,SNW,278,271,0,0.0,278,0,0,0,5,0,2,
2026-01-27,01,STR,396,385,0,0.0,396,0,0,0,10,0,1,
2026-01-27,01,STC,340,286,39,0.0,340,0,0,0,14,0,1,
2026-01-27,01,SWA,738,595,128,0.0,738,0,0,3,11,0,1,
2026-01-27,01,SMA,543,182,342,0.0,543,0,0,13,3,2,1,
2026-01-27,01,SHC,143,140,0,0.0,143,0,0,0,3,0,0,
2026-01-27,01,SGE,328,254,61,0.0,328,0,0,4,7,0,2,
2026-01-27,01,SLI,162,122,33,0.0,162,0,0,1,5,0,1,
2026-01-27,01,STL,92,88,0,0.0,92,0,0,0,4,0,0,
2026-01-27,01,SGM,206,201,0,0.0,206,0,0,0,5,0,0,
2026-01-27,01,STE,32,22,9,0.0,32,0,0,0,1,0,0,
2026-01-27,01,SCR,210,134,66,0.0,210,0,0,2,7,0,1,
2026-01-27,01,SSA,337,253,76,0.0,337,0,0,2,5,0,1,
2026-01-27,01,SLM,515,446,55,0.0,515,0,0,0,13,1,0,
2026-01-27,01,SGU,410,366,23,0.0,410,0,4,0,15,0,2,
2026-01-27,01,SOT,1238,1109,100,0.0,1238,0,0,2,25,0,2,
2026-01-27,01,SME,998,974,1,0.0,998,0,0,0,18,0,5,
2026-01-27,01,SAP,1008,874,59,0.0,1008,0,0,2,66,0,7,
2026-01-27,02,SCC,638,530,77,,638,0,0,8,21,0,2,0.0
2026-01-27,02,SEG,943,852,64,,943,0,0,2,19,0,6,0.0
2026-01-27,02,SNP,174,98,71,,174,0,0,1,4,0,0,0.0
2026-01-27,02,SKM,57,53,0,,57,0,0,0,4,0,0,0.0
2026-01-27,02,SPC,176,114,53,,176,0,0,5,4,0,0,0.0
2026-01-27,02,SSN,243,170,65,,243,0,0,1,7,0,0,0.0
2026-01-27,02,SAE,549,532,5,,549,0,0,0,12,0,0,0.0
2026-01-27,02,SAT,301,290,0,,301,0,0,0,11,0,0,0.0
2026-01-27,02,STI,2340,2238,47,,2340,0,0,1,46,0,8,0.0
2026-01-27,02,SKO,2487,2007,423,,2487,0,2,7,44,1,3,0.0
2026-01-27,02,SAR,481,354,113,,481,0,0,4,7,0,3,0.0
2026-01-27,02,SVA,723,694,0,,723,0,0,0,26,0,3,0.0
2026-01-27,02,SAN,853,756,70,,853,0,0,1,24,0,2,0.0
2026-01-27,02,SSI,68,67,0,,68,0,0,0,1,0,0,0.0
2026-01-27,02,SAL,2396,2011,304,,2396,0,1,6,67,2,5,0.0
2026-01-27,02,SMM,827,703,98,,827,0,0,3,22,0,1,0.0
2026-01-28,01,SWD,841,791,32,0.0,841,0,0,1,14,0,3,
2026-01-28,01,SWN,143,123,16,0.0,143,0,0,0,4,0,0,
2026-01-28,01,STV,148,146,0,0.0,148,0,0,0,2,0,0,
2026-01-28,01,STT,243,239,0,0.0,243,0,0,0,4,0,0,
2026-01-28,01,SKP,301,287,0,0.0,301,0,0,0,12,0,2,
2026-01-28,01,STG,82,75,5,0.0,82,0,0,0,2,0,0,
2026-01-28,01,SNW,272,262,0,0.0,272,0,0,0,8,0,2,
2026-01-28,01,STR,425,415,0,0.0,425,0,0,0,10,0,0,
2026-01-28,01,STC,355,295,49,0.0,355,0,0,0,11,0,0,
2026-01-28,01,SWA,737,599,125,0.0,737,0,0,3,9,0,1,
2026-01-28,01,SMA,535,189,325,0.0,535,0,0,12,4,4,1,
2026-01-28,01,SHC,109,107,0,0.0,109,0,0,0,2,0,0,
2026-01-28,01,SGE,325,267,45,0.0,325,0,0,3,9,0,1,
2026-01-28,01,SLI,167,134,29,0.0,167,0,0,1,3,0,0,
2026-01-28,01,STL,97,93,0,0.0,97,0,0,0,4,0,0,
2026-01-28,01,SGM,213,205,0,0.0,213,0,0,0,7,0,1,
2026-01-28,01,STE,42,29,13,0.0,42,0,0,0,0,0,0,
2026-01-28,01,SCR,241,160,74,0.0,241,0,0,1,5,0,1,
2026-01-28,01,SSA,375,284,85,0.0,375,0,0,1,5,0,0,
2026-01-28,01,SLM,537,463,58,0.0,537,0,0,0,15,0,1,
2026-01-28,01,SGU,426,384,19,0.0,426,0,4,2,16,0,1,
2026-01-28,01,SOT,1274,1148,95,0.0,1274,0,0,2,25,0,4,
2026-01-28,01,SME,1033,1012,0,0.0,1033,0,0,0,19,0,2,
2026-01-28,01,SAP,991,866,58,0.0,991,0,0,1,61,0,5,
2026-01-28,02,SCC,644,541,69,,644,0,0,2,28,0,4,0.0
2026-01-28,02,SEG,997,916,63,,997,0,0,0,16,0,2,0.0
2026-01-28,02,SNP,197,121,73,,197,0,0,0,3,0,0,0.0
2026-01-28,02,SKM,62,60,0,,62,0,0,0,2,0,0,0.0
2026-01-28,02,SPC,184,119,59,,184,0,0,2,4,0,0,0.0
2026-01-28,02,SSN,252,177,70,,252,0,0,1,4,0,0,0.0
2026-01-28,02,SAE,561,537,8,,561,0,0,1,15,0,0,0.0
2026-01-28,02,SAT,314,304,0,,314,0,0,0,10,0,0,0.0
2026-01-28,02,STI,2233,2124,54,,2233,0,0,0,47,0,8,0.0
2026-01-28,02,SKO,2401,1945,404,,2401,0,2,5,39,0,6,0.0
2026-01-28,02,SAR,547,405,135,,547,0,0,0,7,0,0,0.0
2026-01-28,02,SVA,756,741,0,,756,0,0,0,13,0,2,0.0
2026-01-28,02,SAN,893,787,77,,893,0,0,2,25,0,2,0.0
2026-01-28,02,SSI,76,76,0,,76,0,0,0,0,0,0,0.0
2026-01-28,02,SAL,2428,2054,309,,2428,0,2,5,54,1,3,0.0
2026-01-28,02,SMM,811,693,92,,811,0,0,3,22,0,1,0.0
2026-01-29,01,SWD,855,793,39,0.0,855,0,0,0,20,0,3,
2026-01-29,01,SWN,137,116,16,0.0,137,0,0,0,5,0,0,
2026-01-29,01,STV,134,129,0,0.0,134,0,0,0,4,0,1,
2026-01-29,01,STT,251,243,0,0.0,251,0,0,0,7,0,1,
2026-01-29,01,SKP,287,279,0,0.0,287,0,0,0,8,0,0,
2026-01-29,01,STG,82,77,3,0.0,82,0,0,0,2,0,0,
2026-01-29,01,SNW,274,267,0,0.0,274,0,0,0,5,0,2,
2026-01-29,01,STR,396,385,0,0.0,396,0,0,0,10,0,1,
2026-01-29,01,STC,339,278,47,0.0,339,0,0,0,12,0,2,
2026-01-29,01,SWA,733,616,102,0.0,733,0,0,2,13,0,0,
2026-01-29,01,SMA,552,194,334,0.0,552,0,0,12,6,4,2,
2026-01-29,01,SHC,128,123,0,0.0,128,0,0,0,5,0,0,
2026-01-29,01,SGE,334,269,54,0.0,334,0,0,1,10,0,0,
2026-01-29,01,SLI,158,128,23,0.0,158,0,0,3,3,0,1,
2026-01-29,01,STL,94,89,0,0.0,94,0,0,0,5,0,0,
2026-01-29,01,SGM,206,199,0,0.0,206,0,0,0,7,0,0,
2026-01-29,01,STE,39,27,12,0.0,39,0,0,0,0,0,0,
2026-01-29,01,SCR,250,167,75,0.0,250,0,0,3,4,0,1,
2026-01-29,01,SSA,383,291,83,0.0,383,0,0,0,7,0,2,
2026-01-29,01,SLM,511,439,54,0.0,511,0,0,0,17,1,0,
2026-01-29,01,SGU,441,398,25,0.0,441,0,4,0,12,0,2,
2026-01-29,01,SOT,1317,1186,100,0.0,1317,0,0,1,25,0,5,
2026-01-29,01,SME,984,967,0,0.0,984,0,0,0,14,0,3,
2026-01-29,01,SAP,1051,919,61,0.0,1051,0,0,1,64,0,6,
2026-01-29,02,SCC,610,517,59,,610,0,0,3,27,2,2,0.0
2026-01-29,02,SEG,996,900,67,,996,0,0,1,19,1,8,0.0
2026-01-29,02,SNP,179,116,54,,179,0,0,4,3,1,1,0.0
2026-01-29,02,SKM,53,51,0,,53,0,0,0,2,0,0,0.0
2026-01-29,02,SPC,210,136,63,,210,0,0,6,5,0,0,0.0
2026-01-29,02,SSN,239,168,62,,239,0,0,2,7,0,0,0.0
2026-01-29,02,SAE,551,524,6,,551,0,0,0,21,0,0,0.0
2026-01-29,02,SAT,310,301,0,,310,0,0,0,9,0,0,0.0
2026-01-29,02,STI,2266,2157,54,,2266,0,0,0,49,0,6,0.0
2026-01-29,02,SKO,2411,1974,376,,2411,0,2,4,48,0,7,0.0
2026-01-29,02,SAR,491,367,115,,491,0,0,0,7,1,1,0.0
2026-01-29,02,SVA,766,746,0,,766,0,0,0,19,0,1,0.0
2026-01-29,02,SAN,890,793,69,,890,0,0,3,22,0,3,0.0
2026-01-29,02,SSI,72,70,0,,72,0,0,0,2,0,0,0.0
2026-01-29,02,SAL,2406,2037,305,,2406,0,2,4,51,0,7,0.0
2026-01-29,02,SMM,816,693,100,,816,0,0,3,19,0,1,0.0
2026-01-30,01,SWD,828,760,43,0.0,828,0,0,0,22,0,3,
2026-01-30,01,SWN,121,108,10,0.0,121,0,0,0,3,0,0,
2026-01-30,01,STV,149,144,0,0.0,149,0,0,0,4,0,1,
2026-01-30,01,STT,239,234,0,0.0,239,0,0,0,4,0,1,
2026-01-30,01,SKP,284,272,0,0.0,284,0,0,0,9,0,3,
2026-01-30,01,STG,89,83,3,0.0,89,0,0,0,3,0,0,
2026-01-30,01,SNW,268,260,0,0.0,268,0,0,0,8,0,0,
2026-01-30,01,STR,401,386,0,0.0,401,0,0,0,14,0,1,
2026-01-30,01,STC,332,277,44,0.0,332,0,0,0,10,0,1,
2026-01-30,01,SWA,745,598,130,0.0,745,0,0,1,16,0,0,
2026-01-30,01,SMA,610,216,380,0.0,610,0,0,8,1,4,1,
2026-01-30,01,SHC,102,100,0,0.0,102,0,0,0,2,0,0,
2026-01-30,01,SGE,312,245,57,0.0,312,0,0,4,6,0,0,
2026-01-30,01,SLI,160,125,27,0.0,160,0,0,4,2,0,2,
2026-01-30,01,STL,91,89,0,0.0,91,0,0,0,2,0,0,
2026-01-30,01,SGM,194,190,0,0.0,194,0,0,0,4,0,0,
2026-01-30,01,STE,40,27,13,0.0,40,0,0,0,0,0,0,
2026-01-30,01,SCR,242,157,73,0.0,242,0,0,3,8,0,1,
2026-01-30,01,SSA,327,237,82,0.0,327,0,0,1,4,0,3,
2026-01-30,01,SLM,492,421,55,0.0,492,0,0,0,15,1,0,
2026-01-30,01,SGU,391,339,33,0.0,391,0,4,0,13,0,2,
2026-01-30,01,SOT,1238,1094,108,0.0,1238,0,0,3,30,0,3,
2026-01-30,01,SME,974,950,0,0.0,974,0,0,0,17,0,7,
2026-01-30,01,SAP,1045,914,60,0.0,1045,0,0,0,65,0,6,
2026-01-30,02,SCC,691,568,94,,691,0,0,8,20,0,1,0.0
2026-01-30,02,SEG,944,853,66,,944,0,0,1,18,0,6,0.0
2026-01-30,02,SNP,186,120,60,,186,0,0,2,3,1,0,0.0
2026-01-30,02,SKM,50,49,0,,50,0,0,0,1,0,0,0.0
2026-01-30,02,SPC,198,128,62,,198,0,0,5,3,0,0,0.0
2026-01-30,02,SSN,247,172,70,,247,0,0,2,3,0,0,0.0
2026-01-30,02,SAE,500,475,7,,500,0,0,1,16,0,1,0.0
2026-01-30,02,SAT,285,276,0,,285,0,0,0,9,0,0,0.0
2026-01-30,02,STI,2311,2208,50,,2311,0,0,0,45,0,8,0.0
2026-01-30,02,SKO,2369,1924,380,,2369,0,2,8,49,0,6,0.0
2026-01-30,02,SAR,469,360,102,,469,0,0,0,6,0,1,0.0
2026-01-30,02,SVA,741,729,0,,741,0,0,0,11,0,1,0.0
2026-01-30,02,SAN,853,748,81,,853,0,0,3,19,0,2,0.0
2026-01-30,02,SSI,71,69,0,,71,0,0,0,2,0,0,0.0
2026-01-30,02,SAL,2360,1992,299,,2360,0,1,3,57,1,7,0.0
2026-01-30,02,SMM,829,704,100,,829,0,0,4,20,0,1,0.0
2026-01-31,01,SWD,645,592,38,0.0,645,0,0,2,11,0,2,
2026-01-31,01,SWN,94,78,14,0.0,94,0,0,0,2,0,0,
2026-01-31,01,STV,151,143,0,0.0,151,0,0,0,7,0,1,
2026-01-31,01,STT,252,247,0,0.0,252,0,0,0,4,0,1,
2026-01-31,01,SKP,261,258,0,0.0,261,0,0,0,2,0,1,
2026-01-31,01,STG,61,55,5,0.0,61,0,0,0,1,0,0,
2026-01-31,01,SNW,220,215,0,0.0,220,0,0,0,5,0,0,
2026-01-31,01,STR,298,294,0,0.0,298,0,0,0,4,0,0,
2026-01-31,01,STC,319,247,62,0.0,319,0,0,1,8,0,1,
2026-01-31,01,SWA,572,390,170,0.0,572,0,0,2,9,1,0,
2026-01-31,01,SMA,619,183,422,0.0,619,0,0,9,4,1,0,
2026-01-31,01,SHC,146,142,0,0.0,146,0,0,0,4,0,0,
2026-01-31,01,SGE,287,227,51,0.0,287,0,0,3,5,0,1,
2026-01-31,01,SLI,165,124,34,0.0,165,0,0,4,1,0,2,
2026-01-31,01,STL,81,77,0,0.0,81,0,0,0,4,0,0,
2026-01-31,01,SGM,153,149,0,0.0,153,0,0,0,4,0,0,
2026-01-31,01,STE,19,13,6,0.0,19,0,0,0,0,0,0,
2026-01-31,01,SCR,208,135,67,0.0,208,0,0,1,4,0,1,
2026-01-31,01,SSA,333,243,80,0.0,333,0,0,2,5,1,2,
2026-01-31,01,SLM,435,370,58,0.0,435,0,0,0,7,0,0,
2026-01-31,01,SGU,398,350,37,0.0,398,0,2,0,7,0,2,
2026-01-31,01,SOT,802,681,100,0.0,802,0,0,0,19,0,2,
2026-01-31,01,SME,1113,1092,1,0.0,1113,0,0,0,18,0,2,
2026-01-31,01,SAP,845,744,39,0.0,845,0,0,2,55,0,5,
2026-01-31,02,SCC,654,526,106,,654,0,0,6,15,1,0,0.0
2026-01-31,02,SEG,811,714,75,,811,0,0,0,17,0,5,0.0
2026-01-31,02,SNP,172,101,66,,172,0,0,2,1,2,0,0.0
2026-01-31,02,SKM,65,64,0,,65,0,0,0,1,0,0,0.0
2026-01-31,02,SPC,179,114,57,,179,0,0,3,5,0,0,0.0
2026-01-31,02,SSN,225,132,89,,225,0,0,0,3,1,0,0.0
2026-01-31,02,SAE,335,320,8,,335,0,0,1,6,0,0,0.0
2026-01-31,02,SAT,203,198,0,,203,0,0,0,5,0,0,0.0
2026-01-31,02,STI,1749,1684,41,,1749,0,0,0,20,0,4,0.0
2026-01-31,02,SKO,1706,1388,275,,1706,0,2,4,30,1,6,0.0
2026-01-31,02,SAR,421,261,154,,421,0,0,2,4,0,0,0.0
2026-01-31,02,SVA,1125,1094,1,,1125,0,0,0,27,0,3,0.0
2026-01-31,02,SAN,733,628,88,,733,0,0,1,15,0,1,0.0
2026-01-31,02,SSI,71,69,0,,71,0,0,0,2,0,0,0.0
2026-01-31,02,SAL,1943,1572,318,,1943,0,0,3,42,3,5,0.0
2026-01-31,02,SMM,551,458,80,,551,0,0,1,12,0,0,0.0
2026-02-01,01,SWD,351,315,26,0.0,351,0,0,4,6,0,0,
2026-02-01,01,SWN,85,71,11,0.0,85,0,0,0,3,0,0,
2026-02-01,01,STV,160,151,0,0.0,160,0,0,0,9,0,0,
2026-02-01,01,STT,194,189,0,0.0,194,0,0,0,3,0,2,
2026-02-01,01,SKP,162,160,0,0.0,162,0,0,0,2,0,0,
2026-02-01,01,STG,29,24,5,0.0,29,0,0,0,0,0,0,
2026-02-01,01,SNW,156,155,0,0.0,156,0,0,0,1,0,0,
2026-02-01,01,STR,212,209,0,0.0,212,0,0,0,3,0,0,
2026-02-01,01,STC,260,192,56,0.0,260,0,0,2,9,0,1,
2026-02-01,01,SWA,377,235,134,0.0,377,0,0,1,6,1,0,
2026-02-01,01,SMA,383,92,285,0.0,383,0,0,0,3,3,0,
2026-02-01,01,SHC,53,51,0,0.0,53,0,0,0,2,0,0,
2026-02-01,01,SGE,165,107,55,0.0,165,0,0,1,2,0,0,
2026-02-01,01,SLI,104,81,19,0.0,104,0,0,1,3,0,0,
2026-02-01,01,STL,58,56,0,0.0,58,0,0,0,2,0,0,
2026-02-01,01,SGM,72,64,0,0.0,72,0,0,0,8,0,0,
2026-02-01,01,STE,17,10,7,0.0,17,0,0,0,0,0,0,
2026-02-01,01,SCR,138,96,32,0.0,138,0,0,1,7,0,2,
2026-02-01,01,SSA,200,143,50,0.0,200,0,0,1,3,0,3,
2026-02-01,01,SLM,594,407,177,0.0,594,0,0,1,9,0,0,
2026-02-01,01,SGU,295,263,27,0.0,295,0,0,0,3,0,2,
2026-02-01,01,SOT,306,245,49,0.0,306,0,0,2,9,0,1,
2026-02-01,01,SME,710,694,0,0.0,710,0,0,0,12,0,4,
2026-02-01,01,SAP,399,366,11,0.0,399,0,0,0,15,0,7,
2026-02-01,02,SCC,501,398,90,,501,0,0,3,9,0,1,0.0
2026-02-01,02,SEG,645,562,65,,645,0,0,0,14,0,4,0.0
2026-02-01,02,SNP,112,57,54,,112,0,0,1,0,0,0,0.0
2026-02-01,02,SKM,39,38,0,,39,0,0,0,1,0,0,0.0
2026-02-01,02,SPC,110,73,35,,110,0,0,2,0,0,0,0.0
2026-02-01,02,SSN,161,89,67,,161,0,0,0,4,1,0,0.0
2026-02-01,02,SAE,190,177,6,,190,0,0,0,7,0,0,0.0
2026-02-01,02,SAT,106,104,0,,106,0,0,0,2,0,0,0.0
2026-02-01,02,STI,1455,1425,18,,1455,0,0,0,10,0,2,0.0
2026-02-01,02,SKO,929,775,136,,929,0,0,2,15,0,1,0.0
2026-02-01,02,SAR,318,202,111,,318,0,0,2,3,0,0,0.0
2026-02-01,02,SVA,1232,1200,1,,1232,0,0,0,26,0,5,0.0
2026-02-01,02,SAN,557,457,85,,557,0,0,1,11,1,2,0.0
2026-02-01,02,SSI,49,46,0,,49,0,0,0,3,0,0,0.0
2026-02-01,02,SAL,1146,894,224,,1146,0,0,4,20,0,4,0.0
2026-02-01,02,SMM,271,203,60,,271,0,0,0,8,0,0,0.0
2026-02-02,01,SWD,849,777,45,0.0,849,0,0,2,21,0,4,
2026-02-02,01,SWN,124,109,11,0.0,124,0,0,1,3,0,0,
2026-02-02,01,STV,134,134,0,0.0,134,0,0,0,0,0,0,
2026-02-02,01,STT,245,236,0,0.0,245,0,0,0,8,0,1,
2026-02-02,01,SKP,281,270,0,0.0,281,0,0,0,10,0,1,
2026-02-02,01,STG,84,76,6,0.0,84,0,0,0,2,0,0,
2026-02-02,01,SNW,295,285,1,0.0,295,0,0,0,8,0,1,
2026-02-02,01,STR,416,406,0,0.0,416,0,0,0,9,0,1,
2026-02-02,01,STC,351,299,41,0.0,351,0,0,0,10,0,1,
2026-02-02,01,SWA,721,582,119,0.0,721,0,0,1,18,0,1,
2026-02-02,01,SMA,564,175,368,0.0,564,0,0,11,6,3,1,
2026-02-02,01,SHC,110,106,0,0.0,110,0,0,0,4,0,0,
2026-02-02,01,SGE,316,254,53,0.0,316,0,0,0,8,0,1,
2026-02-02,01,SLI,155,118,27,0.0,155,0,0,4,5,0,1,
2026-02-02,01,STL,90,82,0,0.0,90,0,0,0,8,0,0,
2026-02-02,01,SGM,194,188,0,0.0,194,0,0,0,6,0,0,
2026-02-02,01,STE,30,20,10,0.0,30,0,0,0,0,0,0,
2026-02-02,01,SCR,245,152,84,0.0,245,0,0,2,6,0,1,
2026-02-02,01,SSA,310,237,67,0.0,310,0,0,2,3,0,1,
2026-02-02,01,SLM,493,426,54,0.0,493,0,0,0,13,0,0,
2026-02-02,01,SGU,414,357,38,0.0,414,0,5,1,12,0,1,
2026-02-02,01,SOT,1233,1109,101,0.0,1233,0,0,0,21,0,2,
2026-02-02,01,SME,920,895,2,0.0,920,0,0,0,20,0,3,
2026-02-02,01,SAP,1000,868,58,0.0,1000,0,0,1,69,0,4,
2026-02-02,02,SCC,654,554,69,,654,0,0,5,25,1,0,0.0
2026-02-02,02,SEG,974,870,77,,974,0,0,0,19,0,8,0.0
2026-02-02,02,SNP,165,113,44,,165,0,0,2,5,1,0,0.0
2026-02-02,02,SKM,64,62,0,,64,0,0,0,2,0,0,0.0
2026-02-02,02,SPC,187,119,60,,187,0,0,4,4,0,0,0.0
2026-02-02,02,SSN,261,177,72,,261,0,0,1,11,0,0,0.0
2026-02-02,02,SAE,537,518,3,,537,0,0,1,15,0,0,0.0
2026-02-02,02,SAT,297,284,0,,297,0,0,0,13,0,0,0.0
2026-02-02,02,STI,2293,2187,48,,2293,0,0,1,48,0,9,0.0
2026-02-02,02,SKO,2415,1962,388,,2415,0,2,8,49,0,6,0.0
2026-02-02,02,SAR,477,360,109,,477,0,0,1,7,0,0,0.0
2026-02-02,02,SVA,735,718,1,,735,0,0,0,14,0,2,0.0
